Fecha,Apertura,Máximo,Mínimo,Cierre,Cierre_Ajustado,Volumen
2025-06-11,2202667.0,2206353.0,2159664.0,2171272.0,2171272.0,
2025-06-10,2111197.0,2218181.0,2111197.0,2202667.0,2202667.0,
2025-06-09,2156778.0,2156778.0,2109184.0,2111197.0,2111197.0,
2025-06-06,2124156.0,2176386.0,2102591.0,2156778.0,2156778.0,
2025-06-05,2130736.0,2157326.0,2115655.0,2124156.0,2124156.0,
2025-06-04,2224638.0,2224638.0,2124306.0,2126915.0,2126915.0,
2025-06-03,2206291.0,2250237.0,2181587.0,2224638.0,2224638.0,
2025-06-02,2278992.0,2283473.0,2202360.0,2206291.0,2206291.0,
2025-05-30,2306995.0,2314949.0,2269200.0,2278992.0,2278992.0,
2025-05-29,2344330.0,2345531.0,2296663.0,2308056.0,2308056.0,
2025-05-28,2355098.0,2368473.0,2266196.0,2344330.0,2344330.0,
2025-05-27,2370800.0,2381052.0,2343523.0,2355098.0,2355098.0,
2025-05-26,2345902.0,2384067.0,2345902.0,2370800.0,2370800.0,
2025-05-23,2314897.0,2352614.0,2281486.0,2345902.0,2345902.0,
2025-05-22,2319549.0,2358258.0,2308352.0,2314897.0,2314897.0,
2025-05-21,2378464.0,2400650.0,2310191.0,2319549.0,2319549.0,
2025-05-20,2369505.0,2399812.0,2346821.0,2378464.0,2378464.0,
2025-05-19,2318360.0,2409196.0,2318360.0,2369505.0,2369505.0,
2025-05-16,2298473.0,2321689.0,2279256.0,2318360.0,2318360.0,
2025-05-15,2301643.0,2312954.0,2236044.0,2298473.0,2298473.0,
2025-05-14,2288845.0,2313283.0,2246657.0,2301643.0,2301643.0,
2025-05-13,2230395.0,2292721.0,2214326.0,2285483.0,2285483.0,
2025-05-12,2114588.0,2233646.0,2114588.0,2230395.0,2230395.0,
2025-05-09,2064360.0,2140598.0,2063755.0,2114386.0,2114386.0,
2025-05-08,2059915.0,2085691.0,2028066.0,2061722.0,2061722.0,
2025-05-07,2129994.0,2132279.0,2055401.0,2059915.0,2059915.0,
2025-05-06,2059932.0,2134997.0,2059932.0,2129994.0,2129994.0,
2025-05-05,2100844.0,2100844.0,2032468.0,2059932.0,2059932.0,
,2158848.0,2158848.0,2097529.0,2100844.0,2100844.0,
,2180826.0,2199194.0,2154901.0,2158848.0,2158848.0,
,2225243.0,2242754.0,2151095.0,2179249.0,2179249.0,
,2232745.0,2257679.0,2218007.0,2225243.0,2225243.0,
,2239402.0,2331504.0,2229411.0,2232745.0,2232745.0,
,2163891.0,2283593.0,2163891.0,2239402.0,2239402.0,
,2045707.0,2168086.0,2045707.0,2163891.0,2163891.0,
,2177975.0,2177975.0,2025142.0,2045707.0,2045707.0,
